satellite_number,alt_km,size_range,days,err_km
10437,1546.0544600300013,5-10cm,4.180563611109499,298.5406795213007
10437,1546.0544600300013,5-10cm,4.632737870368141,341.74131786690674
10437,1546.0544600300013,5-10cm,5.13499156249894,416.6643736442087
10437,1546.0544600300013,5-10cm,5.402027048609323,502.42575960803345
10437,1546.0544600300013,5-10cm,5.691691886572926,510.9242024245254
10437,1546.0544600300013,5-10cm,6.12855266203483,632.9098162183058
10437,1546.0544600300013,5-10cm,6.293195601850748,674.3012941928172
10437,1546.0544600300013,5-10cm,7.102928414350306,847.6419801870671
10437,1546.0544600300013,5-10cm,7.963091504629012,1000.1858436737982
10437,1546.0544600300013,5-10cm,8.077783495369884,1095.0317837028156
10437,1546.0544600300013,5-10cm,8.615019409719993,1162.8380004820485
10437,1546.0544600300013,5-10cm,8.69993693286898,1179.6339389497844
10437,1546.0544600300013,5-10cm,9.136330960646823,1415.1935014813903
10437,1546.0544600300013,5-10cm,9.588962314813225,1440.3256302151417
10437,1546.0544600300013,5-10cm,10.111135231480002,1731.2288440314398
10437,1546.0544600300013,5-10cm,10.648317546295347,1762.0057968262659
10437,1546.0544600300013,5-10cm,11.085106516201739,2071.413755509509
10437,1546.0544600300013,5-10cm,11.413979710646801,2232.632479225817
10437,1546.0544600300013,5-10cm,11.62267321759076,2096.6644547997876
10437,1546.0544600300013,5-10cm,11.944467233794708,2226.7678034434034
10437,1546.0544600300013,5-10cm,12.059538796295723,2446.018191086406
10437,1546.0544600300013,5-10cm,12.596979363425463,2460.411700995296
10437,1546.0544600300013,5-10cm,13.118094085648105,2924.041937320498
10437,1546.0544600300013,5-10cm,13.364655497683971,3067.569665362986
10437,1546.0544600300013,5-10cm,13.571188263887608,2852.7104796644353
10437,1546.0544600300013,5-10cm,14.009142060183265,3294.9048048266955
10437,1546.0544600300013,5-10cm,14.093677673610273,3381.534670790709
10437,1546.0544600300013,5-10cm,14.545654699073898,3271.3016214236172
10437,1546.0544600300013,5-10cm,14.869531770831458,3423.5423421367655
10437,1546.0544600300013,5-10cm,15.066901307870392,3834.058429328463
10437,1546.0544600300013,5-10cm,15.844475590277602,3875.2043916956495
10437,1546.0544600300013,5-10cm,16.04131175925886,4331.059086207811
10437,1546.0544600300013,5-10cm,16.370540162035162,4579.343208220456
10437,1546.0544600300013,5-10cm,16.579105370370325,4211.670948937796
10437,1546.0544600300013,5-10cm,16.901078611110094,4389.122733039209
10437,1546.0544600300013,5-10cm,17.015833344906568,4856.860179891819
